.Test sequence (s)	Network Dependency	Re-lease	Rel-13 ME	Description	
27.22.4.3.11/1	No	R99	C145 AND C177 AND C178	UCS2 display in Katakana	
27.22.4.3.11/2	No	R99	C145 AND C177 AND C178	UCS2 display in Katakana	
27.22.4.3.12/1	No	R99	C144 AND C177 AND C178	UCS2 entry in Katakana	
27.22.4.3.12/2	No	R99	C144 AND C177 AND C178	UCS2 entry in Katakana	
27.22.4.3.TBD	TBD	Rel-6		Frames	
27.22.4.4.1/1	No	R99	M	MORE TIME 27.22.4.4	
27.22.4.5				PLAY TONE 27.22.4.5	
27.22.4.5.1/1	UMTS System Simulator or System Simulator only	R99	C178 AND C179 AND C180 AND C183	play all tones, display alpha, user termination, superimpose	
27.22.4.5.2/1	No	R99	C118 AND C179	UCS2 display in Cyrillic	
27.22.4.5.3/1	No	R99	C108 AND C179	Icons – basic icon	
27.22.4.5.3/2	No	R99	C108 AND C179	Icons – basic icon	
27.22.4.5.3/3	No	R99	C171 AND C179	Icons – colour icon	
27.22.4.5.3/4	No	R99	C171 AND C179	Icons – colour icon	
27.22.4.5.4/1	No	Rel-5	C153 AND C179	Text attribute – left alignment	
27.22.4.5.4/2	No	Rel-5	C154 AND C179	Text attribute – center alignment	
27.22.4.5.4/3	No	Rel-5	C155 AND C179	Text attribute – right alignment	
27.22.4.5.4/4	No	Rel-5	C157 AND C156 AND C179	Text attribute – large font size	
27.22.4.5.4/5	No	Rel-5	C158 AND C156 AND C179	Text attribute – small font size	
27.22.4.5.4/6	No	Rel-5	C160 AND C159 AND C179	Text attribute – bold on	
27.22.4.5.4/7	No	Rel-5	C161 AND C159 AND C179	Text attribute – italic on	
27.22.4.5.4/8	No	Rel-5	C162 AND C159 AND C179	Text attribute – underlined on	
27.22.4.5.4/9	No	Rel-5	C163 AND C159 AND C179	Text attribute – strikethrough on	
27.22.4.5.4/10	No	Rel-5	C164 AND C165 AND C179	Text attribute– foreground and background colours	
27.22.4.5.5/1	No	R99	C143 AND C179	UCS2 display in Chinese	
27.22.4.5.6/1	No	R99	C145 AND C179	UCS2 display in Katakana	
27.22.4.5.TBD	TBD	Rel-6		Frames	
27.22.4.5.TBD	TBD	Rel-6		Themed and Melody tones	
27.22.4.6				POLL INTERVAL 27.22.4.6	
27.22.4.6.1/1	No	R99	M	duration	
27.22.4.6	No	R99	M	duration		Extra
27.22.4.7				REFRESH 27.22.4.7	
27.22.4.7.1/1	UMTS System Simulator or System Simulator only	R99	C146 AND C177 AND C178 AND C180 AND C183	USIM initialization, enabling FDN mode	
27.22.4.7.1/2	UMTS System Simulator or System Simulator only	R99	C146 AND C177 AND C178 AND C180 AND C183	file change notification of FDN file	
27.22.4.7.1/3	No	R99	C177 AND C178	USIM initialization and file change notification of ADN	
27.22.4.7.1/4	UMTS System Simulator or System Simulator only	R99	C146 AND C177 AND C178 AND C180 AND C183	USIM initialization and full file change notification, enabling FDN mode	
27.22.4.7.1/5	No	R99	M	UICC reset	
