.Test sequence (s)	Network Dependency	Re-lease	Rel-13 ME	Description	
27.22.4.23.2/3	No	R99	C114 AND C177	Icons – basic icon	
27.22.4.23.2/2	No	R99	C173 AND C177	Icons – colour icon	
27.22.4.23.2/4	No	R99	C173 AND C177	Icons – colour icon	
27.22.4.23.	No	R99	C173 AND C177	Icons – colour icon	
27.22.4.23.2/5	No	R99	C189 AND C177	basic icon non self-explanatory, no alpha identifier presented	
27.22.4.23.3/1	No	Rel-5	C110 AND C153 AND C177	Text attribute – left alignment	
27.22.4.23.3/2	No	Rel-5	C110 AND C154 AND C177	Text attribute – center alignment	
27.22.4.23.3/3	No	Rel-5	C110 AND C155 AND C177	Text attribute – right alignment	
27.22.4.23.3/4	No	Rel-5	C110 AND C157 AND C156 AND C177	Text attribute – large font size	
27.22.4.23.3/5	No	Rel-5	C110 AND C158 AND C156 AND C177	Text attribute – small font size	
27.22.4.23.3/6	No	Rel-5	C110 AND C160 AND C159 AND C177	Text attribute – bold on	
27.22.4.23.3/7	No	Rel-5	C110 AND C161 AND C159 AND C177	Text attribute – italic on	
27.22.4.23.3/8	No	Rel-5	C110 AND C162 AND C159 AND C177	Text attribute – underline on	
27.22.4.23.3/9	No	Rel-5	C110 AND C163 AND C159 AND C177	Text attribute – strikethrough on	
27.22.4.23.3/10	No	Rel-5	C110 AND C164 AND C165 AND C177	Text attribute – foreground and background colours	
27.22.4.23.4/1	No	R99	C149 AND C177	UCS2 Display in Cyrillic	
27.22.4.23.5/1	No	R99	C150 AND C177	UCS2 display in Chinese	
27.22.4.23.6/1	No	R99	C151 AND C177	UCS2 display in Katakana	
27.22.4.23.TBD	TBD	Rel-6		Frames	
27.22.4.24				SEND DTMF 27.22.4.24	
27.22.4.24.1/1	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Normal	
27.22.4.24.1/2	UMTS System Simulator or System Simulator only	R99	C180 AND C183	alpha identifier	
27.22.4.24.1/3	UMTS System Simulator or System Simulator only	R99	C180 AND C183	alpha identifier	
27.22.4.24.1/4	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Mobile is not in a speech call	
27.22.4.24.2/1	UMTS System Simulator or System Simulator only	R99	C108 AND C180 AND C183	Icons – basic icon	
27.22.4.24.2/3	UMTS System Simulator or System Simulator only	R99	C108 AND C180 AND C183	Icons – basic icon	
27.22.4.24.2/2	UMTS System Simulator or System Simulator only	R99	C171 AND C180 AND C183	Icons – colour icon	
27.22.4.24.3/1	UMTS System Simulator or System Simulator only	R99	C118 AND C180 AND C183	UCS2 display in Cyrillic	
27.22.4.24.4/1	UMTS System Simulator or System Simulator only	Rel-5	C153 AND C180 AND C183	Text attribute – left alignment	
27.22.4.24.4/2	UMTS System Simulator or System Simulator only	Rel-5	C154 AND C180 AND C183	Text attribute – center alignment	
27.22.4.24.4/3	UMTS System Simulator or System Simulator only	Rel-5	C155 AND C180 AND C183	Text attribute – right alignment	
27.22.4.24.4/4	UMTS System Simulator or System Simulator only	Rel-5	C157 AND C156 AND C180 AND C183	Text attribute – large font size	
27.22.4.24.4/5	UMTS System Simulator or System Simulator only	Rel-5	C158 AND C156 AND C180 AND C183	Text attribute – small font size	
27.22.4.24.4/6	UMTS System Simulator or System Simulator only	Rel-5	C160 AND C159 AND C180 AND C183	Text attribute – bold on	
27.22.4.24.4/7	UMTS System Simulator or System Simulator only	Rel-5	C161 AND C159 AND C180 AND C183	Text attribute – italic on	
27.22.4.24.4/8	UMTS System Simulator or System Simulator only	Rel-5	C162 AND C159 AND C180 AND C183	Text attribute – underline on	
27.22.4.24.4/9	UMTS System Simulator or System Simulator only	Rel-5	C163 AND C159 AND C180 AND C183	Text attribute – strikethrough on	
27.22.4.24.4/10	UMTS System Simulator or System Simulator only	Rel-5	C164 AND C165 AND C180 AND C183	Text attribute – foreground and background colours	
27.22.4.24.5/1	UMTS System Simulator or System Simulator only	R99	C143 AND C180 AND C183	UCS2 display in Chinese	
27.22.4.24.6/1	UMTS System Simulator or System Simulator only	R99	C145 AND C180 AND C183	UCS2 display in Katakana	
27.22.4.24.TBD	TBD	Rel-6		Frames	
27.22.4.25				LANGUAGE NOTIFICATION 27.22.4.25	
27.22.4.25.1/1	No	R99	C181 AND C218	Specific language notification 	
27.22.4.25.1/2	No	R99	C181 AND C218	Non specific language notification	
27.22.4.26				LAUNCH BROWSER 27.22.4.26	
27.22.4.26.1/1	Yes	R99 	C111 AND C177 AND C178 AND C213	No session already launched: Connect to the default URL	
27.22.4.26.1/2	Yes	R99 	C111 AND C177 AND C178	connect to the specified URL, alpha identifier length=0	
27.22.4.26.1/3	Yes	R99 	C111 AND C177 AND C178	Browser identity, no alpha identifier	
27.22.4.26.1/4	Yes	R99 	C122 AND C177 AND C178	one bearer specified and gateway/proxy identity	
27.22.4.26.1/5		R99 	Void	void	
27.22.4.26.1/6	Yes	R99 	C111 AND C177 AND C178 AND C214	ME does not support Launch Browser with Default URL	
27.22.4.26.2/1	Yes	R99 	C111 AND C177 AND C178	Interaction with current session	
27.22.4.26.2/2	Yes	R99 	C111 AND C177 AND C178	Interaction with current session	
27.22.4.26.2/3	Yes	R99 	C111 AND C177 AND C178	Interaction with current session	
27.22.4.26.3/1	Yes	R99 	C111 AND C118 AND C177 AND C178	UCS2 display in Cyrillic	
27.22.4.26.4/1	Yes	R99 	C115 AND C177 AND C178	Icons – basic icon	
27.22.4.26.4/2	Yes	R99 	C115 AND C177 AND C178	Icons – basic icon	
27.22.4.26.5/1	Yes	Rel-5	C111 AND C153 AND C177 AND C178	Text attribute – left alignment	
27.22.4.26.5/2	Yes	Rel-5	C111 AND C154 AND C177 AND C178	Text attribute – center alignment	
27.22.4.26.5/3	Yes	Rel-5	C111 AND C155 AND C177 AND C178	Text attribute – right alignment	
27.22.4.26.5/4	Yes	Rel-5	C111 AND C157 AND C156 AND C177 AND C178	Text attribute – large font size	
27.22.4.26.5/5	Yes	Rel-5	C111 AND C158 AND C156 AND C177 AND C178	Text attribute – small font size	
27.22.4.26.5/6	Yes	Rel-5	C111 AND C160 AND C159 AND C177 AND C178	Text attribute – bold on	
27.22.4.26.5/7	Yes	Rel-5	C111 AND C161 AND C159 AND C177 AND C178	Text attribute – italic on	
27.22.4.26.5/8	Yes	Rel-5	C111 AND C162 AND C159 AND C177 AND C178	Text attribute – underline on	
27.22.4.26.5/9	Yes	Rel-5	C111 AND C163 AND C159 AND C177 AND C178	Text attribute – strikethrough on	
27.22.4.26.5/10	Yes	Rel-5	C111 AND C164 AND C165 AND C177 AND C178	Text attribute – foreground and background colours	
27.22.4.26.6/1	Yes	R99	C111 AND C143 AND C177 AND C178	UCS2 display in Chinese	
27.22.4.26.7/1	Yes	R99	C111 AND C145 AND C177 AND C178	UCS2 display in Katakana	
27.22.4.26.TBD	TBD	Rel-6		Frames	
27.22.4.27				OPEN CHANNEL 27.22.4.27	
27.22.4.27.void		R99	void	void	
27.22.4.27.2/1		R99	void	void	
27.22.4.27.2/2	UMTS System Simulator or System Simulator only	R99	C121 AND C183	immediate link establishment GPRS, no alpha identifier, with network access name	
27.22.4.27.2/3	UMTS System Simulator or System Simulator only	R99	C121 AND C183	immediate link establishment, GPRS, with alpha identifier	
27.22.4.27.2/4	UMTS System Simulator or System Simulator only	R99	C121 AND C183	immediate link establishment, GPRS, with null alpha identifier	
27.22.4.27.2/5	UMTS System Simulator or System Simulator only	R99	C152 AND C183	immediate link establishment, GPRS, command performed with modifications (buffer size)	
27.22.4.27.2/6		void	Void	void	
27.22.4.27.2/7	UMTS System Simulator or System Simulator only	R99	C169 AND C183 AND C177	immediate link establishment, GPRS, open command with alpha identifier, User did not accept the proactive command	
27.22.4.27.2/7a	UMTS System Simulator or System Simulator only	R99	C169 AND C183 AND C177	immediate link establishment, GPRS, open command with alpha identifier, User did not accept the proactive command		Extra
27.22.4.27.2/7b	UMTS System Simulator or System Simulator only	R99	C169 AND C183 AND C177	immediate link establishment, GPRS, open command with alpha identifier, User did not accept the proactive command		Extra
27.22.4.27.2/8		void	Void	void	
27.22.4.27.2/9	UMTS System Simulator or System Simulator only	R99	C191 AND C183	OPEN CHANNEL, immediate link establishment, no alpha identifier, with network access name	
27.22.4.27.2/10	UMTS System Simulator or System Simulator only	Rel-7	C192 AND C183	Multi OPEN CHANNEL, one in TCP Server  mode and one in TCP Client mode.	
27.22.4.27.3/1	UMTS System Simulator or System Simulator only	R99	C191 AND C183	OPEN CHANNEL, Default Bearer, GPRS, with null alpha identifier)	
27.22.4.27.TBD	TBD	Rel-4		Local Bearer	
27.22.4.27.5/1	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C153 AND C183	Text attribute – left alignment	
27.22.4.27.5/2	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C154 AND C183	Text attribute – center alignment	
27.22.4.27.5/3	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C155 AND C183	Text attribute – right alignment	
27.22.4.27.5/4	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C157 AND C156 AND C183	Text attribute – large font size	
27.22.4.27.5/5	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C158 AND C156 AND C183	Text attribute – small font size	
27.22.4.27.5/6	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C160 AND C159 AND C183	Text attribute – bold on	
27.22.4.27.5/7	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C161 AND C159 AND C183	Text attribute – italic on	
27.22.4.27.5/8	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C162 AND C159 AND C183	Text attribute – underline on	
27.22.4.27.5/9	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C163 AND C159 AND C183	Text attribute – strikethrough on	
27.22.4.27.5/10	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C164 AND C165 AND C183	Text attribute – foreground and background colours	
27.22.4.27.TBD	TBD	Rel-6		Frames	
27.22.4.27.6/1	E-USS or NB-SS (See NOTE)	Rel-8	C224	Immediate link establishment, E-UTRAN, bearer type '02'	
27.22.4.27.6/2	E-USS only	Rel-8	C182	Immediate link establishment, E-UTRAN, bearer type '0B'	
27.22.4.27.6/3	E-USS or NB-SS (See NOTE)	Rel-8	C224	Immediate link establishment, E-UTRAN, bearer type '02', with Network Access Name, with alpha identifier	
27.22.4.27.6/4	E-USS or NB-SS (See NOTE)	Rel-8	C223 AND C177	Immediate link establishment, E-UTRAN, bearer type '03',  with alpha identifier, user did not accept the proactive command	
27.22.4.27.6/5	E-USS or NB-SS (See NOTE)	Rel-8	C223	Immediate link establishment, E-UTRAN, bearer type '03', default EPS bearer	
27.22.4.27.7/1	UMTS System Simulator OR E-USS	Rel-10	C207	OPEN CHANNEL for IMS, IARI list stored on the USIM	
27.22.4.28				CLOSE CHANNEL 27.22.4.28	
27.22.4.28.1/1	UMTS System Simulator or System Simulator only	R99 	C121 AND C183	successful	
27.22.4.28.1/2	UMTS System Simulator or System Simulator only	R99 	C121 AND C183	with an invalid channel identifier	
27.22.4.28.1/3	UMTS System Simulator or System Simulator only	R99	C121 AND C183	on an already closed channel	
27.22.4.28.2/1	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C153 AND C183	Text attribute – left alignment	
27.22.4.28.2/2	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C154 AND C183	Text attribute – center alignment	
27.22.4.28.2/3	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C155 AND C183	Text attribute – right alignment	
27.22.4.28.2/4	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C157 AND C156 AND C183	Text attribute – large font size	
27.22.4.28.2/5	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C158 AND C156 AND C183	Text attribute – small font size	
27.22.4.28.2/6	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C160 AND C159 AND C183	Text attribute – bold on	
27.22.4.28.2/7	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C161 AND C159 AND C183	Text attribute – italic on	
27.22.4.28.2/8	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C162 AND C159 AND C183	Text attribute – underline on	
27.22.4.28.2/9	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C163 AND C159 AND C183	Text attribute – strikethrough on	
27.22.4.28.2/10	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C164 AND C165 AND C183	Text attribute – foreground and background colours	
27.22.4.28.TBD	TBD	Rel-6		Frames	
27.22.4.28.3/1	E-USS or NB-SS (See NOTE)	Rel-8	C224 	Default EPS bearer, successful	
27.22.4.28.3/2	E-USS or NB-SS (See NOTE)	Rel-8	C224 	EPS bearer with APN different from default APN, successful	
27.22.4.29				RECEIVE DATA 27.22.4.29	
27.22.4.29.1/1	UMTS System Simulator or System Simulator only	R99	C121 AND C183	already opened channel	
27.22.4.29.2/1	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C153 AND C183	Text attribute – left alignment	
27.22.4.29.2/2	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C154 AND C183	Text attribute – center alignment	
27.22.4.29.2/3	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C155 AND C183	Text attribute – right alignment	
27.22.4.29.2/4	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C157 AND C156 AND C183	Text attribute – large font size	
27.22.4.29.2/5	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C158 AND C156 AND C183	Text attribute – small font size	
27.22.4.29.2/6	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C160 AND C159 AND C183	Text attribute – bold on	
27.22.4.29.2/7	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C161 AND C159 AND C183	Text attribute – italic on	
27.22.4.29.2/8	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C162 AND C159 AND C183	Text attribute – underline on	
27.22.4.29.2/9	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C163 AND C159 AND C183	Text attribute – strikethrough on	
27.22.4.29.2/10	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C164 AND C165 AND C183	Text attribute– foreground and background colours	
27.22.4.29.TBD	TBD	Rel-6		Frames	
27.22.4.29.1/2	E-USS or NB-SS (See NOTE)	Rel-8	C224 	Already opened channel – E-UTRAN, APN different from default	
27.22.4.30				SEND DATA 27.22.4.30	
27.22.4.30.1/1	UMTS System Simulator or System Simulator only	R99	C121 AND C183	immediate mode	
27.22.4.30.1/2	UMTS System Simulator or System Simulator only	R99	C121 AND C183	Store mode	
27.22.4.30.1/3	UMTS System Simulator or System Simulator only	R99	C121 AND C183	Store mode, Tx buffer fully used	
27.22.4.30.1/4	UMTS System Simulator or System Simulator only	R99	C121 AND C183	2 consecutive SEND DATA Store mode	
27.22.4.30.1/5	UMTS System Simulator or System Simulator only	R99	C121 AND C183	immediate mode with a bad channel identifier	
27.22.4.30				void	
27.22.4.30.2/1	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C153 AND C183	Text attribute– left alignment	
27.22.4.30.2/2	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C154 AND C183	Text attribute – center alignment	
27.22.4.30.2/3	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C155 AND C183	Text attribute – right alignment	
27.22.4.30.2/4	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C157 AND C156 AND C183	Text attribute – large font size	
27.22.4.30.2/5	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C158 AND C156 AND C183	Text attribute – small font size	
27.22.4.30.2/6	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C160 AND C159 AND C183	Text attribute – bold on	
27.22.4.30.2/7	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C161 AND C159 AND C183	Text attribute – italic on	
27.22.4.30.2/8	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C162 AND C159 AND C183	Text attribute – underline on	
27.22.4.30.2/9	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C163 AND C159 AND C183	Text attribute – strikethrough on	
27.22.4.30.2/10	UMTS System Simulator or System Simulator only	Rel-5	C121 AND C164 AND C165 AND C183	Text attribute– foreground and background colours	
27.22.4.30.TBD	TBD	Rel-6		Frames	
27.22.4.30.3/1	E-USS or NB-SS (See NOTE)	Rel-8	C223	Immediate mode – E-UTRAN, Default EPS bearer	
27.22.4.30.3/2	E-USS or NB-SS (See NOTE)	Rel-8	C224 	Store mode – E-UTRAN, APN different from default APN	
27.22.4.31				GET CHANNEL STATUS 27.22.4.31	
27.22.4.31				GET CHANNEL STATUS 27.22.4.31		Extra
27.22.4.31.1/1	UMTS System Simulator or System Simulator only	R99	C121 AND C183	without any BIP channel opened	
27.22.4.31/1	UMTS System Simulator or System Simulator only	R99	C121 AND C183	without any BIP channel opened		Extra
27.22.4.31.1/2	UMTS System Simulator or System Simulator only	R99	C121 AND C183	with a BIP channel currently opened	
27.22.4.31/2	UMTS System Simulator or System Simulator only	R99	C121 AND C183	with a BIP channel currently opened		Extra
27.22.4.31.1/3	UMTS System Simulator or System Simulator only	R99	C121 AND C183	after a link dropped	
27.22.4.31/3	UMTS System Simulator or System Simulator only	R99	C121 AND C183	after a link dropped		Extra
27.22.4.31.1/4	E-USS or NB-SS (See NOTE)	Rel-8	C224 	EPS bearer with APN different from default APN	
27.22.4.31/4	E-USS or NB-SS (See NOTE)	Rel-8	C224 	EPS bearer with APN different from default APN		Extra
27.22.4.31.1/5	E-USS or NB-SS (See NOTE)	Rel-8	C224 	EPS bearer with APN different from default APN, after a link dropped	
27.22.4.31/5	E-USS or NB-SS (See NOTE)	Rel-8	C224 	EPS bearer with APN different from default APN, after a link dropped		Extra
27.22.5				DATA DOWNLOAD TO UICC 27.22.5	
27.22.5.1				SMS-PP DATA DOWNLOAD 27.22.5.1	
27.22.5.1.1/1				void	
27.22.5.1/1				void		Extra
27.22.5.1.1/2				void	
27.22.5.1/2				void		Extra
27.22.5.1.1/3				void	
27.22.5.1/3				void		Extra
27.22.5.1.1/4				void	
27.22.5.1/4				void		Extra
27.22.5.1.1/5				void	
27.22.5.1/5				void		Extra
27.22.5.1.1/6				void	
27.22.5.1/6				void		Extra
27.22.5.1.1/7				void	
27.22.5.1/7				void		Extra
27.22.5.1.1/9	UMTS System Simulator or System Simulator	R99	C212	SMS-PP Data Download over CS, UTRAN/GERAN	
27.22.5.1/9	UMTS System Simulator or System Simulator	R99	C212	SMS-PP Data Download over CS, UTRAN/GERAN		Extra
27.22.5.2				CELL BROADCAST DATA DOWNLOAD 27.22.5.2	
27.22.5.2.1/1	System Simulator only	R99	C201	Cell Broadcast(GSM) - ME does not display message	
27.22.5.2.1/2				void	
27.22.5.2.1/3	System Simulator only	R99	C201AND C177	Cell Broadcast(GSM) - ME displays message	
27.22.5.2.1/4	UMTS System Simulator only	Rel-5		Cell Broadcast (UTRAN) - ME does not display message	
27.22.5.2.1/5	UMTS System Simulator only	Rel-5		Cell Broadcast (UTRAN) -More time	
27.22.5.2.1/6	UMTS System Simulator only	Rel-5		Cell Broadcast(UTRAN) - ME displays message	
27.22.5.2.1/7	System Simulator only	R99	C201	Cell Broadcast(GSM) - More time (UDH)	
27.22.5.3				SMS-PP DATA DOWNLOAD 27.22.5.3	
27.22.5.3.3/1	E-USS only	Rel-8	C198	SMS-PP Data Download over IMS, E-UTRAN	
27.22.5.3.3/2	UMTS System Simulator only	Rel-7	C199	SMS-PP Data Download over IMS, UTRAN	
27.22.5.4				SMS-PP DATA DOWNLOAD over SGs in E-UTRAN   27.22.5.4	
27.22.5.4.4/1	E-USS or NB-SS (See NOTE)	Rel-8	C221	SMS-PP Data Download over SGs, E-UTRAN	
27.22.5.4/1	E-USS or NB-SS (See NOTE)	Rel-8	C221	SMS-PP Data Download over SGs, E-UTRAN		Extra
27.22.6				CALL CONTROL BY USIM 27.22.6	
27.22.6.1/1	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.1/2	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.1/4	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.1/6	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.1/8	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.1/9	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.1/10	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.1/11	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.1/12	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.1/13	UMTS System Simulator or System Simulator only	R99	C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.1/3A	UMTS System Simulator or System Simulator only	R99	C140 AND C177 AND C178 AND C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.1/5A	UMTS System Simulator or System Simulator only	R99	C140 AND C177 AND C178 AND C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.1/7A	UMTS System Simulator or System Simulator only	R99	C140 AND C177 AND C178 AND C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.1/3B	UMTS System Simulator or System Simulator only	R99	C141 AND C177 AND C178 AND C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.1/7B	UMTS System Simulator or System Simulator only	R99	C141 AND C177 AND C178 AND C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.1/5B	UMTS System Simulator or System Simulator only	R99	C141 AND C180 AND C183	Procedure for MO calls (Cell identity in envelope call control)	
27.22.6.2/1	UMTS System Simulator or System Simulator only	R99	C174 AND C183	Procedure for SS (Cell identity in envelope call control)	
27.22.6.2/2	UMTS System Simulator or System Simulator only	R99	C174 AND C183	Procedure for SS (Cell identity in envelope call control)	
27.22.6.2/3	UMTS System Simulator or System Simulator only	R99	C174 AND C183	Procedure for SS (Cell identity in envelope call control)	
27.22.6.2/4	UMTS System Simulator or System Simulator only	R99	C174 AND C183	Procedure for SS (Cell identity in envelope call control)	
27.22.6.3/1	UMTS System Simulator or System Simulator only	R99	C146 AND C180 AND C183	Interaction with FDN (Cell identity in envelope call control)	
27.22.6.3/2	UMTS System Simulator or System Simulator only	R99	C146 AND C180 AND C183	Interaction with FDN (Cell identity in envelope call control)	
27.22.6.3/3	UMTS System Simulator or System Simulator only	R99	C146 AND C180 AND C183	Interaction with FDN (Cell identity in envelope call control)	
27.22.6.3/4	UMTS System Simulator or System Simulator only	R99	C146 AND C180 AND C183	Interaction with FDN (Cell identity in envelope call control)	
27.22.6.3/5	UMTS System Simulator or System Simulator only	R99	C146 AND C180 AND C183	Interaction with FDN (Cell identity in envelope call control)	
27.22.6.4/1	UMTS System Simulator or System Simulator only	R99	C147 AND C177 AND C178 AND C180 AND C183	BDN service enabled 	
27.22.6.4/2A	UMTS System Simulator or System Simulator only	R99		BDN service enabled, interaction with emergency call codes, R99 only	
27.22.6.4/2B	UMTS System Simulator or System Simulator only	Rel-4	C147 AND C180 AND C183	BDN service enabled, interaction with emergency call codes, Rel-4+	
27.22.6.4/3	UMTS System Simulator or System Simulator only	R99	 C146 AND C147 AND C177 AND C180 AND C183	FDN and BDN enabled, set up a call in EFFDN, Allowed with modifications	
27.22.6.TBD	TBD	Rel-5		Call control on GPRS	
27.22.6.5/1	UMTS System Simulator or System Simulator only	R99	C176 AND C180 AND C183	BDN service enabled, ME not supporting BDN	
27.22.7				EVENT DOWNLOAD 27.22.7	
27.22.7.1.1/1	UMTS System Simulator or System Simulator only	R99	C180 AND C183	27.22.7.1: MT call event	
27.22.7.2.1/1	UMTS System Simulator or System Simulator only	R99	C180 AND C183	27.22.7.2.1: call connected event	
27.22.7.2.1/2	UMTS System Simulator or System Simulator only	R12	C180 AND C183	27.22.7.2.1: call connected event (simultaneous call MT-MO)	
27.22.7.2.1/3	UMTS System Simulator or System Simulator only	R12	C180 AND C183	27.22.7.2.1: call connected event (simultaneous call MO-MO)	
27.22.7.2.1/4	UMTS System Simulator or System Simulator only	R12	C180 AND C183	27.22.7.2.1: call connected event (simultaneous call MO-MT)	
27.22.7.2.2/1	UMTS System Simulator or System Simulator only	R99	C177 AND C178 AND C180 AND C183	27.22.7.2.2: ME supporting SET UP CALL	
27.22.7.3.1/1	UMTS System Simulator or System Simulator only	R99	C180 AND C183	27.22.7.3: call disconnected event	
27.22.7.4.1/1	UMTS System Simulator or System Simulator only	R99	M	27.22.7.4: location status event	
27.22.7.4.1/2	E-USS or NB-SS (See NOTE)	Rel-8	C222	27.22.7.4: location status event, E-UTRAN	
27.22.7.5.1/1	No	R99	C178	27.22.7.5: user activity event	
27.22.7.6.1/1	Yes	R99	C177 AND C178	27.22.7.6: idle screen available event	
27.22.7.7.1/1	No	R99	C109	27.22.7.7.1: Card reader status normal	
27.22.7.7.2/1	No	R99	C116	27.22.7.7.2: Detachable card reader	
27.22.7.8.1/1	No	R99	C177 AND C178 AND C181 AND C216	27.22.7.8: language selection event	
27.22.7.9.1/1	Yes	R99 	C193 AND C177 AND C178	27.22.7.9: Browser termination event	
27.22.7.10.1/1	UMTS System Simulator or System Simulator only	R99 	C121 AND C183	27.22.7.10: Data available event	
27.22.7.10.1/2	E-USS or NB-SS (See NOTE)	Rel-8 	C223	27.22.7.10: Data available event	
27.22.7.11.1/1	UMTS System Simulator or System Simulator only	R99 	C121 AND C183	27.22.7.11: Channel status event	
27.22.7.11/1	UMTS System Simulator or System Simulator only	R99 	C121 AND C183	27.22.7.11: Channel status event		Extra
27.22.7.11.1/2	E-USS or NB-SS (See NOTE)	Rel-8 	C223	27.22.7.11: Channel status event	
27.22.7.12				27.22.7.12: Access Technology change event	
27.22.7.1/1	UMTS System Simulator and E-USS	Rel-8	C184 AND C190	Single access technology	
27.22.7.TBD	TBD	Rel-8	C184 AND C190	Multiple access technologies	
27.22.7.13.TBD	TBD	Rel-4		27.22.7.13: Display parameter changed event	
27.22.7.14.TBD	TBD	Rel-4		27.22.7.14: Local connection event	
27.22.7.15.1/1	No	Rel-6	M	27.22.7.15: Network search mode change event	
27.22.7.16.TBD	TBD	Rel-6		27.22.7.16: Browsing status event	
27.22.7.17.1/1	E-USS only or NB-SS (See NOTE)	Rel-8	C222	27.22.7.17: Network Rejection Event, ATTACH REJECT	
27.22.7.17.1/2	E-USS or NB-SS (See NOTE)	Rel-8	C222	27.22.7.17: Network Rejection Event, TRACKING AREA UPDATE REJECT	
27.22.7.TBD	TBD	Rel-6		Frame information changed event	
27.22.7.18.1/1	E-USS only	Rel-9	C200	27.22.7.18: CSG cell Selection	
27.22.7.19.-	-	Rel-10		27.22.7.19 : IMS registration event (Refer to 27.22.4.27.7 and 27.22.7.20)	
27.22.7.20.1/1	UMTS System Simulator OR E-USS	Rel-10	C208	27.22.7.20 : Incoming IMS data, IMS Registration and Data available event, IARI list stored on the ISIM	
27.22.8				MO SMS Control by USIM 27.22.8	
27.22.8.1/1	UMTS System Simulator or System Simulator only	R99	C183	With proactive command, Allowed , no modification	
27.22.8.1/2	UMTS System Simulator or System Simulator only	R99	C183	With user SMS, Allowed , no modification	
27.22.8.1/3	UMTS System Simulator or System Simulator only	R99	C183	With proactive command, Not allowed	
27.22.8.1/4	UMTS System Simulator or System Simulator only	R99	C183	With user SMS, Not allowed	
27.22.8.1/5	UMTS System Simulator or System Simulator only	R99	C183	With proactive command, Allowed, with modifications	
27.22.8.1/6	UMTS System Simulator or System Simulator only	R99	C183	With user SMS, Allowed, with modifications	
