25.2.2.3	
47.1.4-1	
14.5.2	
44.2.1.1.1b	X1
51.5.1.1.1.2-1	
81.1.2.2	
25.2.4.3	E1
25.2.4.1	E1
46.2.2.4.1	X1
29.3.3.1	
29.3.3.3	
42.6.1	
52.8.1.1	
30.3	R1
42.3.2.1.2	
26.19.9.5	
41.3.6.7	R6
41.3.6.5	R6
41.3.6.3	
41.3.6.1	R6
31.9.2.1	
31.2.1.4	
31.9.2.3	
52.1.2.2.1	
14.19.3.1	
44.2.3.1.4	R1, X1
14.7.2	
52.8.1.11	
14.7.4	
44.2.1.1.11	X1
83.2.1.2	
46.1.2.7.3-3	
25.2.6.2	E1
52.3.3.1.2	
42.4.7.5.2	
32.8	
42.4.2.3.7	
14.18.10.1	
60.9	
42.4.2.3.2	
32.1	
60.5	
32.3	
60.7	
32.6	
52.1.2.1.5	
14.2.7a	
52.1.2.1.7	
51.2.5.3	
41.5.3.2.1-1	
42.3.2.2.2	
27.17.2.2-4	
52.1.2.1.9.2.1	
27.17.2.2-1	
52.1.2.1.9.5	
42.4.7.4	
58b.3.4	
26.7.2.3-2	
46.1.2.2.2.4	
42.4.6.7	
43.4.1.2	
31.1.4.1.1	
42.4.6.3	
42.4.6.1	
34.2.8	
42.1.2.2.5.2	
14.18.1b	
42.4.2.1.3	
14.18.1d	
42.4.2.1.1	
70.16.8-9	
34.2.1	
34.2.4	
52.1.1.6.2	
29.4.3.2	
44.2.3.2.3a	
21.10.1.1	
47.1.1-1	
46.1.2.6.1	
26.8.2.1	
41.5.2.3-1	
30.1	R1
42.4.7.2	
41.3.4.3-2	
27.17.1.4-2	
27.17.1.2-1	
14.4.5a	
42.1.2.1.1.4	
25.2.1.1.1	E1
44.2.1.2.8	
14.18.8.1a	
29.4.3.6	
29.3.2.3.2	
42.4.4.1	
42.4.4.3	
27.11.1.1	
70.9.1.1	
22.9a	
58c.2.5a	
31.8.6.1	
82.10.1.1	
70.12.1	
26.21.8-2	
70.16.7-3	
44.2.2.2.6	L2, X1
27.17.2.5-3	
26.6.23.2	
27.17.2.5-1	
27.17.2.5-5	
26.21.7-4	
26.16.9.8	
53.1.2.19	
41.3.4.2	
83.1.4.3	
26.21.7-1	
29.3.1.2.1	
26.16.9.2	
53.1.2.17	
58a.2.11	
26.16.9.6	
26.16.9.4	
26.19.5-11	
30.9.2	R1
31.14.1.2	
19.1	
26.19.5-17	
19.3	
70.14.4-4	
26.6.6.1	E1
27.10-4	
41.5.1.1.1.4	
44.2.3.3.5	X1
42.1.2.1.9.3	
13.8	R4
26.6.4.1	
13.4	
13.2	
13.1	R2, L6
13.14	
53.1.1.15	
31.3.1.2.3	
13.10	
13.12	
42.4.2.3.4	
26.14.11.3	
11.5	
26.14.11.1	
11.7	E1
31.1.4.2	
70.16.7-9	
11.3	
31.4.4.1.2.3	
47.3.3.1.1-1	
52.1.2.1.8.1.6	
17.1	
52.1.2.1.8.1.2	
31.6.3.2	
14.11.3.3	
27.17.1.3-2	
14.11.3.1	
41.1.4.1	
32.11	
41.3.1.4-1	
14.2.4a	
14.1.1.2	R12
26.5.6.1.1	E1
26.5.3.3	
27.17.2.1.2-5.1	
70.15.5.1	
70.14.3-3	
70.14.4-2	
45.2.5.1.2.2	X1
44.2.1.2.3b	
26.6.2.5	E1
26.6.2.2	E1
42.2.2.8.2	
58a.2.7	
52.10.3	
43.1.1.3	
81.3.1.4	
15.1	
15.3	
52.3.1.1.8	
15.5	
15.7	
31.6.1.1	
15.9	
46.1.2.5.3	
14.11.1.1	
52.3.1.1.1	
31.6.1.7	
29.3.2.5.1	
29.3.2.5.3	
26.6.8.8	
26.8.1.4.5.8	
26.8.1.4.5.6	
46.1.2.2.1.1	
26.8.1.4.5.4	
